ts, average131195ts, fastestz3, slowestz0
2328, 0.038230, 0.042526, 0.022766
2336, 0.038527, 0.042380, 0.022688
2344, 0.038396, 0.042235, 0.022611
2352, 0.038690, 0.042942, 0.022534
2360, 0.038559, 0.042797, 0.022458
2368, 0.038429, 0.042652, 0.022382
2376, 0.038300, 0.042508, 0.022306
2384, 0.038171, 0.042366, 0.022232
2392, 0.038043, 0.042224, 0.022157
2400, 0.038333, 0.042083, 0.022083
2408, 0.038206, 0.041944, 0.022010
2416, 0.038079, 0.041805, 0.021937
2424, 0.037954, 0.041667, 0.021865
2432, 0.037829, 0.041530, 0.021793
2440, 0.037705, 0.041393, 0.021721
2448, 0.037990, 0.042075, 0.021650
2456, 0.037866, 0.041938, 0.021580
2464, 0.037744, 0.041802, 0.021510
2472, 0.037621, 0.041667, 0.021440
2480, 0.037500, 0.041532, 0.021371
2488, 0.037379, 0.041399, 0.021302
2496, 0.037260, 0.041266, 0.021234
2504, 0.037141, 0.041134, 0.021166
2512, 0.037022, 0.041003, 0.021497
2520, 0.036905, 0.041667, 0.021825
2528, 0.037184, 0.041535, 0.021756
2536, 0.037066, 0.042192, 0.021688
2544, 0.036950, 0.042060, 0.021619
2552, 0.036834, 0.041928, 0.021552
2560, 0.037109, 0.042188, 0.021484
2568, 0.036994, 0.042056, 0.021807
2576, 0.036879, 0.042702, 0.021739
2584, 0.036765, 0.042570, 0.021672
2592, 0.036651, 0.042438, 0.021605
2600, 0.036538, 0.042308, 0.021538
2608, 0.036426, 0.042561, 0.021472
2616, 0.036697, 0.042431, 0.021407
2624, 0.036585, 0.042683, 0.021341
2632, 0.036474, 0.042553, 0.021277
2640, 0.036364, 0.042803, 0.021212
2648, 0.036254, 0.042674, 0.021148
2656, 0.036521, 0.042545, 0.021084
2664, 0.036411, 0.042417, 0.021021
2672, 0.036302, 0.042290, 0.020958
2680, 0.036194, 0.042164, 0.020896
2688, 0.036458, 0.042783, 0.020833
2696, 0.036350, 0.042656, 0.020772
2704, 0.036243, 0.042530, 0.020710
2712, 0.036136, 0.042404, 0.021386
2720, 0.036397, 0.042647, 0.021324
2728, 0.036290, 0.042522, 0.021261
2736, 0.036184, 0.042398, 0.021199
2744, 0.036079, 0.042274, 0.021137
2752, 0.035974, 0.042151, 0.021076
2760, 0.036232, 0.042391, 0.021014
2768, 0.036127, 0.042630, 0.020954
2776, 0.036023, 0.042867, 0.020893
2784, 0.036279, 0.043103, 0.020833
2792, 0.036175, 0.043338, 0.020774
2800, 0.036071, 0.043214, 0.020714
2808, 0.035969, 0.043091, 0.020655
2816, 0.035866, 0.043324, 0.020597
2824, 0.035765, 0.043201, 0.020892
2832, 0.035664, 0.043432, 0.020833
2840, 0.035915, 0.043310, 0.020775
2848, 0.035815, 0.043539, 0.020716
2856, 0.035714, 0.043417, 0.020658
2864, 0.035615, 0.043296, 0.020601
2872, 0.035515, 0.043175, 0.020543
2880, 0.035764, 0.043056, 0.020833
2888, 0.035665, 0.042936, 0.020776
2896, 0.035566, 0.042818, 0.020718
2904, 0.035468, 0.043044, 0.020661
2912, 0.035371, 0.042926, 0.020604
2920, 0.035616, 0.042808, 0.020548
2928, 0.035519, 0.042691, 0.020492
2936, 0.035422, 0.042575, 0.020436
2944, 0.035326, 0.042459, 0.020380
2952, 0.035230, 0.042683, 0.020325
2960, 0.035135, 0.042905, 0.020270
2968, 0.035040, 0.042790, 0.020216
2976, 0.035282, 0.043011, 0.020497
2984, 0.035188, 0.043231, 0.020442
2992, 0.035094, 0.043115, 0.020388
3000, 0.035000, 0.043333, 0.020333
3008, 0.034907, 0.043218, 0.020279
3016, 0.035146, 0.043103, 0.020225
3024, 0.035053, 0.043320, 0.020172
3032, 0.034960, 0.043206, 0.020119
3040, 0.034868, 0.043421, 0.020066
3048, 0.034777, 0.043307, 0.020013
3056, 0.034686, 0.043194, 0.019961
3064, 0.034922, 0.043081, 0.019909
3072, 0.034831, 0.042969, 0.019857
3080, 0.035065, 0.043182, 0.019805
3088, 0.034974, 0.043070, 0.019754
3096, 0.034884, 0.042959, 0.019703
3104, 0.034794, 0.043170, 0.019652
3112, 0.034704, 0.043059, 0.019602
3120, 0.034615, 0.042949, 0.019551
3128, 0.034527, 0.043159, 0.019501
3136, 0.034439, 0.043048, 0.019452
3144, 0.034669, 0.043257, 0.019402
3152, 0.034581, 0.043147, 0.019353
3160, 0.034494, 0.043038, 0.019304
3168, 0.034407, 0.043245, 0.019255
3176, 0.034320, 0.043136, 0.019521
3184, 0.034234, 0.043028, 0.019472
3192, 0.034148, 0.042920, 0.019424
3200, 0.034375, 0.042813, 0.019375
3208, 0.034289, 0.043017, 0.019327
3216, 0.034204, 0.042910, 0.019279
3224, 0.034119, 0.042804, 0.019231
3232, 0.034344, 0.043007, 0.019183
3240, 0.034259, 0.042901, 0.019136
3248, 0.034175, 0.042796, 0.019089
3256, 0.034091, 0.042690, 0.019042
3264, 0.034007, 0.042892, 0.018995
3272, 0.034230, 0.043093, 0.018949
3280, 0.034146, 0.042988, 0.018902
3288, 0.034063, 0.042883, 0.018856
3296, 0.033981, 0.042779, 0.018811
3304, 0.033898, 0.042676, 0.018765
3312, 0.034118, 0.042572, 0.019324
3320, 0.034036, 0.042470, 0.019277
3328, 0.033954, 0.042668, 0.019231
3336, 0.033873, 0.042566, 0.019185
3344, 0.033792, 0.042464, 0.019139
3352, 0.033711, 0.043258, 0.019093
3360, 0.033929, 0.043155, 0.019048
3368, 0.033848, 0.043052, 0.019002
3376, 0.033768, 0.042950, 0.018957
3384, 0.033983, 0.043440, 0.018913
3392, 0.033903, 0.043337, 0.018868
3400, 0.033824, 0.043235, 0.018824
3408, 0.033744, 0.043134, 0.018779
3416, 0.033665, 0.043033, 0.018735
3424, 0.033586, 0.042932, 0.018692
3432, 0.033800, 0.043415, 0.018648
3440, 0.033721, 0.043314, 0.018605
3448, 0.033643, 0.043213, 0.018561
3456, 0.033565, 0.043113, 0.019097
3464, 0.033776, 0.043014, 0.019053
3472, 0.033698, 0.042915, 0.019009
3480, 0.033621, 0.042816, 0.018966
3488, 0.033544, 0.042718, 0.018922
3496, 0.033467, 0.042620, 0.018879
3504, 0.033390, 0.043094, 0.018836
3512, 0.033314, 0.042995, 0.018793
3520, 0.033523, 0.042898, 0.018750
3528, 0.033447, 0.042800, 0.018707
3536, 0.033371, 0.043269, 0.018665
3544, 0.033296, 0.043172, 0.018623
3552, 0.033502, 0.043074, 0.018581
3560, 0.033427, 0.043258, 0.018539
3568, 0.033352, 0.043161, 0.018498
3576, 0.033277, 0.043345, 0.018456
3584, 0.033203, 0.043248, 0.018694
3592, 0.033408, 0.043151, 0.018653
3600, 0.033333, 0.043333, 0.018611
3608, 0.033259, 0.043514, 0.018570
3616, 0.033462, 0.043418, 0.018529
3624, 0.033389, 0.043322, 0.018488
3632, 0.033315, 0.043227, 0.018447
3640, 0.033242, 0.043407, 0.018407
3648, 0.033169, 0.043586, 0.018366
3656, 0.033370, 0.043764, 0.018326
3664, 0.033297, 0.043668, 0.018286
3672, 0.033224, 0.043573, 0.018246
3680, 0.033152, 0.043750, 0.018207
3688, 0.033080, 0.043655, 0.018167
3696, 0.033009, 0.043561, 0.018128
3704, 0.032937, 0.043467, 0.018089
3712, 0.032866, 0.043642, 0.018050
3720, 0.033065, 0.043817, 0.018011
3728, 0.032994, 0.043723, 0.017972
3736, 0.032923, 0.043897, 0.017934
3744, 0.032853, 0.043803, 0.017895
3752, 0.033049, 0.043710, 0.017857
3760, 0.032979, 0.043617, 0.017819
3768, 0.032909, 0.043524, 0.017781
3776, 0.032839, 0.043697, 0.017744
3784, 0.032770, 0.043605, 0.017706
3792, 0.032964, 0.043776, 0.017669
3800, 0.032895, 0.043684, 0.017632
3808, 0.032826, 0.043592, 0.017595
3816, 0.032757, 0.043763, 0.017558
3824, 0.032950, 0.043933, 0.017521
3832, 0.032881, 0.044363, 0.017484
3840, 0.032813, 0.044271, 0.017448
3848, 0.032744, 0.044179, 0.017412
3856, 0.032676, 0.044346, 0.017376
3864, 0.032867, 0.044255, 0.017340
3872, 0.032800, 0.044163, 0.017304
3880, 0.032732, 0.044588, 0.017268
3888, 0.032665, 0.044496, 0.017233
3896, 0.032598, 0.044405, 0.017197
3904, 0.032531, 0.044570, 0.017162
3912, 0.032464, 0.044479, 0.017127
3920, 0.032653, 0.044388, 0.017092
3928, 0.032587, 0.044297, 0.017057
3936, 0.032520, 0.044207, 0.017276
3944, 0.032454, 0.044118, 0.017241
3952, 0.032389, 0.044281, 0.017460
3960, 0.032323, 0.044192, 0.017424
3968, 0.032258, 0.044355, 0.017389
3976, 0.032193, 0.044517, 0.017354
3984, 0.032129, 0.044428, 0.017319
3992, 0.032064, 0.044339, 0.017285
4000, 0.032000, 0.044250, 0.017250
4008, 0.032186, 0.044162, 0.017216
4016, 0.032122, 0.044074, 0.017181
4024, 0.032058, 0.043986, 0.017147
4032, 0.032242, 0.044147, 0.017361
4040, 0.032178, 0.044059, 0.017327
4048, 0.032115, 0.043972, 0.017292
4056, 0.032051, 0.043886, 0.017258
4064, 0.032234, 0.043799, 0.017224
4072, 0.032171, 0.043959, 0.017191
4080, 0.032108, 0.043873, 0.017402
4088, 0.032045, 0.043787, 0.017368
4096, 0.032227, 0.043701, 0.017334
4104, 0.032164, 0.043860, 0.017300
4112, 0.032101, 0.043774, 0.017267
4120, 0.032039, 0.043689, 0.017233
4128, 0.032219, 0.043605, 0.017200
4136, 0.032157, 0.043762, 0.017166
4144, 0.032336, 0.043678, 0.017133
4152, 0.032274, 0.043834, 0.017100
4160, 0.032212, 0.043750, 0.017067
4168, 0.032150, 0.044146, 0.017035
4176, 0.032088, 0.044061, 0.017002
4184, 0.032266, 0.043977, 0.016969
4192, 0.032204, 0.043893, 0.016937
4200, 0.032143, 0.043810, 0.017381
4208, 0.032082, 0.043964, 0.017348
4216, 0.032021, 0.043880, 0.017315
4224, 0.031960, 0.043797, 0.017282
4232, 0.031900, 0.043715, 0.017250
4240, 0.031840, 0.043868, 0.017217
4248, 0.032015, 0.043785, 0.017185
4256, 0.031955, 0.043938, 0.017152
4264, 0.031895, 0.043856, 0.017120
4272, 0.032069, 0.043773, 0.017088
